"drug","est","lo","hi","truth","method","rep","err","covered"
"drug_20",-0.153912530186815,-0.501408163895072,0.200051652074936,-0.104149843573116,"boot_log",2,-0.0497626866136988,TRUE
"drug_21",-0.333677357419008,-0.494950144070405,-0.145478763437478,-0.342357034052305,"boot_log",2,0.00867967663329661,TRUE
"drug_22",-0.384406958971332,-1.15012991149522,0.110452834694015,-0.203737474858099,"boot_log",2,-0.180669484113233,TRUE
"drug_23",-0.136105491316473,-0.429284601226922,0.188227240381102,0.103631631664415,"boot_log",2,-0.239737122980888,TRUE
"drug_24",0.781236449488083,0.601298033157907,0.974881807641808,0.65880980267794,"boot_log",2,0.122426646810143,TRUE
"drug_25",-0.618476737332339,-0.884345115747142,-0.395548728923739,-0.495956033442443,"boot_log",2,-0.122520703889897,TRUE
"drug_01",0.0572815748755512,-0.0114065641776466,0.125969713928749,0,"meta_fix",2,0.0572815748755512,TRUE
"drug_02",0.342671012040349,0.276210214470318,0.40913180961038,0.169166687708925,"meta_fix",2,0.173504324331424,FALSE
"drug_03",-0.254325884216491,-0.35258634164603,-0.156065426786952,-0.0735851436123616,"meta_fix",2,-0.18074074060413,FALSE
"drug_04",0.744226643334988,0.693818129710143,0.794635156959833,0.817438505026439,"meta_fix",2,-0.0732118616914506,FALSE
"drug_05",-0.252374389579646,-0.336224938784518,-0.168523840374774,-0.0906157406874154,"meta_fix",2,-0.161758648892231,FALSE
"drug_06",-0.0597593273721907,-0.135802728840404,0.0162840740960222,0.173656871631472,"meta_fix",2,-0.233416199003663,FALSE
"drug_07",0.00265203816858016,-0.0540537578339018,0.0593578341710623,0.11477289253438,"meta_fix",2,-0.1121208543658,FALSE
"drug_08",-0.696966878987232,-0.755703272297588,-0.638230485676877,-0.577227267144662,"meta_fix",2,-0.11973961184257,FALSE
"drug_09",0.192273374397797,0.109311063740864,0.275235685054729,0.189809286083761,"meta_fix",2,0.00246408831403544,TRUE
"drug_10",0.560447119379062,0.500158635755278,0.620735603002846,0.644905810165264,"meta_fix",2,-0.084458690786202,FALSE
"drug_11",-0.409817706940972,-0.489977830923101,-0.329657582958844,-0.180002685559853,"meta_fix",2,-0.229815021381119,FALSE
"drug_12",0.465644030613096,0.396429992483008,0.534858068743185,0.276663799818134,"meta_fix",2,0.188980230794962,FALSE
"drug_13",0.132993671591068,0.0562720068153436,0.209715336366793,0.41168806705082,"meta_fix",2,-0.278694395459751,FALSE
"drug_14",0.0964334600625449,0.0281932007956847,0.164673719329405,0.061295036060497,"meta_fix",2,0.0351384240020479,TRUE
"drug_15",0.211493289840789,0.104919129037864,0.318067450643713,0.615238458541403,"meta_fix",2,-0.403745168700614,FALSE
"drug_16",-0.0587203886327822,-0.141109395584192,0.0236686183186278,-0.0152224756724059,"meta_fix",2,-0.0434979129603763,TRUE
"drug_17",-0.151386385723822,-0.210102689286976,-0.0926700821606671,0.014575530000085,"meta_fix",2,-0.165961915723907,FALSE
"drug_18",-0.197836421677512,-0.291342333872783,-0.104330509482241,-0.0239175245651484,"meta_fix",2,-0.173918897112364,FALSE
"drug_19",0.668937008834953,0.591591443277985,0.74628257439192,0.874815505020849,"meta_fix",2,-0.205878496185896,FALSE
"drug_20",-0.260272502550471,-0.339890036972262,-0.18065496812868,-0.104149843573116,"meta_fix",2,-0.156122658977354,FALSE
"drug_21",-0.375022049270774,-0.442798233882391,-0.307245864659157,-0.342357034052305,"meta_fix",2,-0.0326650152184695,TRUE
"drug_22",-0.266836280306759,-0.367207504497286,-0.166465056116233,-0.203737474858099,"meta_fix",2,-0.0630988054486603,TRUE
"drug_23",-0.116663308519597,-0.182848464930356,-0.0504781521088385,0.103631631664415,"meta_fix",2,-0.220294940184012,FALSE
"drug_24",0.751694996596563,0.654909594041971,0.848480399151154,0.65880980267794,"meta_fix",2,0.0928851939186232,TRUE
"drug_25",-0.669755313378235,-0.734159930137471,-0.605350696619,-0.495956033442443,"meta_fix",2,-0.173799279935793,FALSE
"drug_01",0.0331987280163426,-0.254591282358834,0.320988738391519,0,"meta_ran",2,0.0331987280163426,TRUE
"drug_02",0.416767869925585,0.111308857372186,0.722226882478984,0.169166687708925,"meta_ran",2,0.24760118221666,TRUE
"drug_03",-0.274709187868736,-0.570145687564682,0.0207273118272105,-0.0735851436123616,"meta_ran",2,-0.201124044256374,TRUE
